"Label (Grouping)","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Florida!!Male!!Estimate","Florida!!Male!!Margin of Error","Florida!!Percent Male!!Estimate","Florida!!Percent Male!!Margin of Error","Florida!!Female!!Estimate","Florida!!Female!!Margin of Error","Florida!!Percent Female!!Estimate","Florida!!Percent Female!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Percent!!Estimate","Georgia!!Percent!!Margin of Error","Georgia!!Male!!Estimate","Georgia!!Male!!Margin of Error","Georgia!!Percent Male!!Estimate","Georgia!!Percent Male!!Margin of Error","Georgia!!Female!!Estimate","Georgia!!Female!!Margin of Error","Georgia!!Percent Female!!Estimate","Georgia!!Percent Female!!Margin of Error","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Percent!!Estimate","Illinois!!Percent!!Margin of Error","Illinois!!Male!!Estimate","Illinois!!Male!!Margin of Error","Illinois!!Percent Male!!Estimate","Illinois!!Percent Male!!Margin of Error","Illinois!!Female!!Estimate","Illinois!!Female!!Margin of Error","Illinois!!Percent Female!!Estimate","Illinois!!Percent Female!!Margin of Error","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!Percent!!Estimate","New Jersey!!Percent!!Margin of Error","New Jersey!!Male!!Estimate","New Jersey!!Male!!Margin of Error","New Jersey!!Percent Male!!Estimate","New Jersey!!Percent Male!!Margin of Error","New Jersey!!Female!!Estimate","New Jersey!!Female!!Margin of Error","New Jersey!!Percent Female!!Estimate","New Jersey!!Percent Female!!Margin of Error","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Percent!!Estimate","North Carolina!!Percent!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Percent Male!!Estimate","North Carolina!!Percent Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error","North Carolina!!Percent Female!!Estimate","North Carolina!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Percent!!Estimate","Texas!!Percent!!Margin of Error","Texas!!Male!!Estimate","Texas!!Male!!Margin of Error","Texas!!Percent Male!!Estimate","Texas!!Percent Male!!Margin of Error","Texas!!Female!!Estimate","Texas!!Female!!Margin of Error","Texas!!Percent Female!!Estimate","Texas!!Percent Female!!Margin of Error","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Percent!!Estimate","Virginia!!Percent!!Margin of Error","Virginia!!Male!!Estimate","Virginia!!Male!!Margin of Error","Virginia!!Percent Male!!Estimate","Virginia!!Percent Male!!Margin of Error","Virginia!!Female!!Estimate","Virginia!!Female!!Margin of Error","Virginia!!Percent Female!!Estimate","Virginia!!Percent Female!!Margin of Error","Washington!!Total!!Estimate","Washington!!Total!!Margin of Error","Washington!!Percent!!Estimate","Washington!!Percent!!Margin of Error","Washington!!Male!!Estimate","Washington!!Male!!Margin of Error","Washington!!Percent Male!!Estimate","Washington!!Percent Male!!Margin of Error","Washington!!Female!!Estimate","Washington!!Female!!Margin of Error","Washington!!Percent Female!!Estimate","Washington!!Percent Female!!Margin of Error"
"Total population","21,781,128","*****","(X)","(X)","10,714,520","±8,241","(X)","(X)","11,066,608","±8,241","(X)","(X)","10,799,566","*****","(X)","(X)","5,270,144","±9,361","(X)","(X)","5,529,422","±9,361","(X)","(X)","12,671,469","*****","(X)","(X)","6,264,364","±4,540","(X)","(X)","6,407,105","±4,540","(X)","(X)","10,050,811","*****","(X)","(X)","4,976,869","±4,298","(X)","(X)","5,073,942","±4,298","(X)","(X)","9,267,130","*****","(X)","(X)","4,563,560","±3,087","(X)","(X)","4,703,570","±3,087","(X)","(X)","10,551,162","*****","(X)","(X)","5,149,323","±8,160","(X)","(X)","5,401,839","±8,160","(X)","(X)","11,780,017","*****","(X)","(X)","5,808,575","±5,120","(X)","(X)","5,971,442","±5,120","(X)","(X)","29,527,941","*****","(X)","(X)","14,739,011","±10,620","(X)","(X)","14,788,930","±10,620","(X)","(X)","8,642,274","*****","(X)","(X)","4,273,931","±6,076","(X)","(X)","4,368,343","±6,076","(X)","(X)","7,738,692","*****","(X)","(X)","3,897,320","±3,977","(X)","(X)","3,841,372","±3,977","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","1,091,954","±3,377","5.0%","±0.1","558,584","±3,735","5.2%","±0.1","533,370","±4,483","4.8%","±0.1","625,969","±5,877","5.8%","±0.1","324,241","±5,337","6.2%","±0.1","301,728","±6,387","5.5%","±0.1","703,551","±2,466","5.6%","±0.1","361,831","±2,925","5.8%","±0.1","341,720","±2,173","5.3%","±0.1","545,979","±2,060","5.4%","±0.1","277,827","±1,989","5.6%","±0.1","268,152","±2,217","5.3%","±0.1","516,200","±1,289","5.6%","±0.1","264,291","±1,669","5.8%","±0.1","251,909","±1,748","5.4%","±0.1","582,801","±4,795","5.5%","±0.1","297,747","±4,430","5.8%","±0.1","285,054","±5,161","5.3%","±0.1","668,935","±2,611","5.7%","±0.1","342,295","±2,820","5.9%","±0.1","326,640","±2,469","5.5%","±0.1","1,891,627","±5,035","6.4%","±0.1","967,416","±6,962","6.6%","±0.1","924,211","±6,596","6.2%","±0.1","480,992","±4,000","5.6%","±0.1","245,127","±4,520","5.7%","±0.1","235,865","±4,049","5.4%","±0.1","432,524","±2,370","5.6%","±0.1","222,442","±2,647","5.7%","±0.1","210,082","±2,356","5.5%","±0.1"
"        5 to 9 years","1,146,199","±17,592","5.3%","±0.1","584,591","±12,459","5.5%","±0.1","561,608","±11,390","5.1%","±0.1","665,082","±13,743","6.2%","±0.1","336,789","±10,237","6.4%","±0.2","328,293","±9,553","5.9%","±0.2","786,184","±10,499","6.2%","±0.1","402,856","±7,951","6.4%","±0.1","383,328","±8,664","6.0%","±0.1","585,574","±9,671","5.8%","±0.1","304,660","±7,174","6.1%","±0.1","280,914","±7,075","5.5%","±0.1","551,684","±10,283","6.0%","±0.1","284,187","±6,834","6.2%","±0.1","267,497","±7,014","5.7%","±0.1","617,727","±11,408","5.9%","±0.1","311,648","±8,037","6.1%","±0.2","306,079","±8,051","5.7%","±0.1","716,330","±12,291","6.1%","±0.1","372,616","±7,954","6.4%","±0.1","343,714","±8,834","5.8%","±0.1","2,055,807","±22,010","7.0%","±0.1","1,059,471","±19,232","7.2%","±0.1","996,336","±17,283","6.7%","±0.1","514,219","±11,153","6.0%","±0.1","262,391","±8,485","6.1%","±0.2","251,828","±8,338","5.8%","±0.2","467,851","±8,992","6.0%","±0.1","240,844","±6,028","6.2%","±0.2","227,007","±6,989","5.9%","±0.2"
"        10 to 14 years","1,291,404","±17,669","5.9%","±0.1","663,644","±12,407","6.2%","±0.1","627,760","±11,689","5.7%","±0.1","777,105","±16,597","7.2%","±0.2","401,326","±11,810","7.6%","±0.2","375,779","±11,299","6.8%","±0.2","805,013","±10,337","6.4%","±0.1","406,943","±7,818","6.5%","±0.1","398,070","±8,247","6.2%","±0.1","632,071","±9,497","6.3%","±0.1","320,312","±7,557","6.4%","±0.1","311,759","±7,067","6.1%","±0.1","592,878","±10,162","6.4%","±0.1","300,468","±6,883","6.6%","±0.2","292,410","±6,914","6.2%","±0.1","689,760","±11,678","6.5%","±0.1","355,206","±9,033","6.9%","±0.2","334,554","±7,742","6.2%","±0.1","758,004","±11,003","6.4%","±0.1","384,540","±7,276","6.6%","±0.1","373,464","±8,560","6.3%","±0.1","2,206,526","±22,391","7.5%","±0.1","1,119,382","±19,737","7.6%","±0.1","1,087,144","±16,395","7.4%","±0.1","559,020","±10,820","6.5%","±0.1","292,819","±8,322","6.9%","±0.2","266,201","±7,503","6.1%","±0.2","492,114","±8,458","6.4%","±0.1","250,892","±6,215","6.4%","±0.2","241,222","±6,673","6.3%","±0.2"
"        15 to 19 years","1,245,029","±8,955","5.7%","±0.1","638,706","±7,457","6.0%","±0.1","606,323","±6,515","5.5%","±0.1","771,330","±9,626","7.1%","±0.1","393,188","±8,259","7.5%","±0.2","378,142","±7,623","6.8%","±0.1","843,352","±6,324","6.7%","±0.1","436,069","±4,808","7.0%","±0.1","407,283","±5,456","6.4%","±0.1","656,015","±4,862","6.5%","±0.1","336,337","±4,233","6.8%","±0.1","319,678","±3,352","6.3%","±0.1","579,783","±3,417","6.3%","±0.1","302,697","±3,182","6.6%","±0.1","277,086","±3,035","5.9%","±0.1","709,711","±9,195","6.7%","±0.1","363,338","±8,049","7.1%","±0.2","346,373","±6,320","6.4%","±0.1","771,242","±5,350","6.5%","±0.1","393,588","±4,635","6.8%","±0.1","377,654","±4,583","6.3%","±0.1","2,136,373","±12,856","7.2%","±0.1","1,101,567","±11,071","7.5%","±0.1","1,034,806","±7,944","7.0%","±0.1","570,825","±7,275","6.6%","±0.1","287,505","±5,706","6.7%","±0.1","283,320","±5,862","6.5%","±0.1","463,399","±5,226","6.0%","±0.1","236,134","±4,111","6.1%","±0.1","227,265","±3,494","5.9%","±0.1"
"        20 to 24 years","1,244,420","±8,900","5.7%","±0.1","632,046","±5,927","5.9%","±0.1","612,374","±6,540","5.5%","±0.1","725,809","±10,283","6.7%","±0.1","371,526","±7,207","7.0%","±0.1","354,283","±7,082","6.4%","±0.1","802,672","±6,749","6.3%","±0.1","407,223","±4,372","6.5%","±0.1","395,449","±4,970","6.2%","±0.1","659,277","±5,698","6.6%","±0.1","332,182","±4,236","6.7%","±0.1","327,095","±3,164","6.4%","±0.1","552,158","±4,389","6.0%","±0.1","278,514","±2,934","6.1%","±0.1","273,644","±3,204","5.8%","±0.1","705,531","±8,808","6.7%","±0.1","362,283","±6,965","7.0%","±0.1","343,248","±5,574","6.4%","±0.1","747,533","±5,778","6.3%","±0.1","378,063","±4,393","6.5%","±0.1","369,470","±4,050","6.2%","±0.1","2,012,920","±13,696","6.8%","±0.1","1,029,938","±9,271","7.0%","±0.1","982,982","±8,868","6.6%","±0.1","574,546","±8,762","6.6%","±0.1","296,891","±5,861","6.9%","±0.1","277,655","±6,221","6.4%","±0.1","481,655","±5,364","6.2%","±0.1","252,158","±3,815","6.5%","±0.1","229,497","±3,418","6.0%","±0.1"
"        25 to 29 years","1,312,400","±5,240","6.0%","±0.1","667,814","±4,754","6.2%","±0.1","644,586","±3,772","5.8%","±0.1","726,782","±8,934","6.7%","±0.1","359,404","±5,444","6.8%","±0.1","367,378","±6,283","6.6%","±0.1","846,637","±4,640","6.7%","±0.1","426,504","±2,981","6.8%","±0.1","420,133","±3,875","6.6%","±0.1","657,608","±3,840","6.5%","±0.1","337,300","±2,439","6.8%","±0.1","320,308","±2,690","6.3%","±0.1","579,470","±2,955","6.3%","±0.1","292,665","±1,982","6.4%","±0.1","286,805","±2,136","6.1%","±0.1","674,087","±7,000","6.4%","±0.1","337,963","±4,996","6.6%","±0.1","336,124","±4,645","6.2%","±0.1","762,174","±4,647","6.5%","±0.1","386,421","±3,387","6.7%","±0.1","375,753","±3,125","6.3%","±0.1","2,081,721","±11,870","7.1%","±0.1","1,051,919","±8,430","7.1%","±0.1","1,029,802","±6,655","7.0%","±0.1","568,529","±6,532","6.6%","±0.1","293,027","±4,185","6.9%","±0.1","275,502","±4,148","6.3%","±0.1","557,222","±4,074","7.2%","±0.1","289,731","±2,952","7.4%","±0.1","267,491","±2,327","7.0%","±0.1"
"        30 to 34 years","1,426,141","±8,015","6.5%","±0.1","722,140","±5,816","6.7%","±0.1","704,001","±4,801","6.4%","±0.1","738,064","±8,575","6.8%","±0.1","361,455","±6,038","6.9%","±0.1","376,609","±5,273","6.8%","±0.1","858,792","±4,726","6.8%","±0.1","430,619","±2,889","6.9%","±0.1","428,173","±3,049","6.7%","±0.1","656,746","±3,523","6.5%","±0.1","334,207","±2,601","6.7%","±0.1","322,539","±2,211","6.4%","±0.1","606,227","±3,173","6.5%","±0.1","306,592","±2,179","6.7%","±0.1","299,635","±2,134","6.4%","±0.1","702,577","±7,048","6.7%","±0.1","343,415","±4,777","6.7%","±0.1","359,162","±4,740","6.6%","±0.1","777,809","±4,472","6.6%","±0.1","387,902","±3,253","6.7%","±0.1","389,907","±2,695","6.5%","±0.1","2,158,231","±11,692","7.3%","±0.1","1,098,366","±8,607","7.5%","±0.1","1,059,865","±6,704","7.2%","±0.1","588,258","±6,585","6.8%","±0.1","296,746","±4,976","6.9%","±0.1","291,512","±3,374","6.7%","±0.1","607,961","±3,465","7.9%","±0.1","314,598","±2,448","8.1%","±0.1","293,363","±2,370","7.6%","±0.1"
"        35 to 39 years","1,358,417","±22,998","6.2%","±0.1","684,473","±15,215","6.4%","±0.1","673,944","±14,773","6.1%","±0.1","733,823","±16,164","6.8%","±0.1","359,198","±10,957","6.8%","±0.2","374,625","±10,669","6.8%","±0.2","864,721","±12,667","6.8%","±0.1","439,310","±8,297","7.0%","±0.1","425,411","±7,963","6.6%","±0.1","607,560","±10,430","6.0%","±0.1","303,974","±6,445","6.1%","±0.1","303,586","±6,678","6.0%","±0.1","616,047","±11,377","6.6%","±0.1","319,485","±7,414","7.0%","±0.2","296,562","±7,823","6.3%","±0.2","670,328","±12,922","6.4%","±0.1","330,786","±7,889","6.4%","±0.2","339,542","±8,250","6.3%","±0.2","745,352","±13,819","6.3%","±0.1","374,790","±8,960","6.5%","±0.2","370,562","±8,088","6.2%","±0.1","2,127,969","±25,739","7.2%","±0.1","1,076,985","±17,206","7.3%","±0.1","1,050,984","±18,069","7.1%","±0.1","600,446","±11,649","6.9%","±0.1","296,033","±7,524","6.9%","±0.2","304,413","±7,226","7.0%","±0.2","559,968","±10,328","7.2%","±0.1","286,209","±6,091","7.3%","±0.2","273,759","±7,227","7.1%","±0.2"
